ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,total_shares,market_cap,cap_category,sector,industry,total_position_value,conviction_score,consistency_score,market_cap_display
TSM,16,"Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Jensen Investment Management, Lee Ainslie - Maverick Capital",,171.09,19.36,29.13,12.99,0,0,Unknown,Technology,Unknown,0.0,101.28,1.38,N/A
MA,16,"AltaRock Partners, Chuck Akre - Akre Capital Management, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Jensen Investment Management, John Armitage - Egerton Capital, Polen Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group",,548.12,5.34,26.84,6.57,0,0,Unknown,Services,Unknown,0.0,72.1,0.71,N/A
BAC,15,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Kahn Brothers Group, Lee Ainslie - Maverick Capital",,41.73,12.8,30.28,6.54,0,0,Unknown,Financials,Unknown,0.0,85.74,1.7,N/A
WFC,14,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Harry Burn - Sound Shore, Mairs & Power Growth Fund, Richard Pzena - Hancock Classic Value, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group",,71.79,13.22,67.5,16.31,0,0,Unknown,Financials,Unknown,0.0,102.19,0.76,N/A
BRK.A,14,"Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, First Eagle Investment Management, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Guy Spier - Aquamarine Capital, Josh Tarasoff - Greenlea Lane Capital, Norbert Lou - Punch Card Management, Prem Watsa - Fairfax Financial Holdings",,798441.53,10.18,58.45,14.27,0,0,Unknown,Financials,Unknown,0.0,91.58,0.67,N/A
MCO,14,"AKO Capital, AltaRock Partners, Chris Hohn - TCI Fund Management, Chuck Akre - Akre Capital Management, Francis Chou - Chou Associates, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Lee Ainslie - Maverick Capital, Thomas Gayner - Markel Group, Triple Frond Partners",,465.69,3.9,20.9,4.93,0,0,Unknown,Financials,Unknown,0.0,60.25,0.66,N/A
DIS,13,"Christopher Bloomstran - Semper Augustus, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Harry Burn - Sound Shore, Hillman Value Fund, Kahn Brothers Group, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group",,99.59,13.16,42.62,12.77,0,0,Unknown,Consumer Discretionary,Unknown,0.0,86.63,0.96,N/A
JPM,12,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Greenhaven Associates, Kahn Brothers Group, Mairs & Power Growth Fund, Samantha McLemore - Patient Capital Management, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn",,245.3,12.48,17.31,4.91,0,0,Unknown,Financials,Unknown,0.0,69.61,2.11,N/A
SCHW,12,"Bill Nygren - Oakmark Select Fund, Christopher Davis - Davis Advisors, Dodge & Cox, Francois Rochon - Giverny Capital, Greenhaven Associates, John Rogers - Ariel Appreciation Fund, Lee Ainslie - Maverick Capital, Mairs & Power Growth Fund, Ruane Cunniff - Sequoia Fund, Thomas Gayner - Markel Group",,78.28,10.15,20.86,6.2,0,0,Unknown,Financials,Unknown,0.0,66.73,1.41,N/A
ORCL,11,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Tepper - Appaloosa Management, First Eagle Investment Management, Jensen Investment Management, Lindsell Train, Polen Capital Management, Thomas Russo - Gardner Russo & Quinn, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,139.81,42.37,50.06,17.05,0,0,Unknown,Information Technology,Unknown,0.0,142.77,2.35,N/A
CHTR,11,"Bill Nygren - Oakmark Select Fund, Bryan Lawrence - Oakcliff Capital, Dodge & Cox, First Eagle Investment Management, Richard Pzena - Hancock Classic Value, Ruane Cunniff - Sequoia Fund, Steven Romick - FPA Crescent Fund, Tom Bancroft - Makaira Partners, Triple Frond Partners, Wallace Weitz - Weitz Large Cap Equity Fund",,368.53,10.09,46.36,12.03,0,0,Unknown,Services,Unknown,0.0,76.36,0.77,N/A
INTU,10,"AKO Capital, David Katz - Matrix Asset Advisors, Dennis Hong - ShawSpring Partners, Jensen Investment Management, Lindsell Train, Stephen Mandel - Lone Pine Capital, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Valley Forge Capital Management, Viking Global Investors",,613.99,25.92,94.73,25.86,0,0,Unknown,Information Technology,Unknown,0.0,129.21,0.97,N/A
AXP,10,"Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Guy Spier - Aquamarine Capital, Lindsell Train, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Torray Funds, Warren Buffett - Berkshire Hathaway",,269.05,11.44,12.27,1.4,0,0,Unknown,Financials,Unknown,0.0,59.01,4.77,N/A
CMCSA,10,"David Katz - Matrix Asset Advisors, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Hillman Value Fund, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,36.74,6.91,20.37,4.76,0,0,Unknown,Consumer Discretionary,Unknown,0.0,54.0,1.2,N/A
JNJ,10,"Charles Bobrinskoy - Ariel Focus Fund, David Katz - Matrix Asset Advisors, Jensen Investment Management, Mairs & Power Growth Fund, Prem Watsa - Fairfax Financial Holdings, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Torray Funds, Tweedy Browne Co. - Tweedy Browne Value Fund, Yacktman Asset Management",,165.84,7.88,8.78,2.41,0,0,Unknown,Health Care,Unknown,0.0,50.15,2.31,N/A
EFX,10,"AKO Capital, Bill Nygren - Oakmark Select Fund, Jensen Investment Management, Lindsell Train, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Valley Forge Capital Management, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,243.56,6.05,13.37,2.71,0,0,Unknown,Industrials,Unknown,0.0,48.78,1.63,N/A
PEP,9,"David Katz - Matrix Asset Advisors, First Eagle Investment Management, Jensen Investment Management, Kahn Brothers Group, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,149.94,11.2,13.79,5.15,0,0,Unknown,Consumer Staples,Unknown,0.0,56.3,1.82,N/A
PM,9,"David Katz - Matrix Asset Advisors, First Eagle Investment Management, Lee Ainslie - Maverick Capital, Stephen Mandel - Lone Pine Capital, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Viking Global Investors, Yacktman Asset Management",,158.73,13.75,27.59,7.99,0,0,Unknown,Consumer Staples,Unknown,0.0,68.3,1.53,N/A
FLUT,9,"AKO Capital, Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, John Armitage - Egerton Capital, Lee Ainslie - Maverick Capital, Stephen Mandel - Lone Pine Capital, Tom Bancroft - Makaira Partners, Viking Global Investors, William Von Mueffling - Cantillon Capital Management",,221.38,21.52,46.37,11.26,0,0,Unknown,Consumer Cyclical,Unknown,0.0,93.22,1.76,N/A
PYPL,9,"David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Francis Chou - Chou Associates, Harry Burn - Sound Shore, Lee Ainslie - Maverick Capital, Lindsell Train, Mason Hawkins - Longleaf Partners, Pat Dorsey - Dorsey Asset Management, Polen Capital Management",,66.99,10.35,17.15,5.18,0,0,Unknown,Financials,Unknown,0.0,56.28,1.67,N/A
NKE,9,"Christopher Bloomstran - Semper Augustus, Hillman Value Fund, Jensen Investment Management, Lindsell Train, Polen Capital Management, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Viking Global Investors",,68.3,5.51,22.76,6.47,0,0,Unknown,Consumer Discretionary,Unknown,0.0,49.4,0.74,N/A
KMX,9,"Chuck Akre - Akre Capital Management, Francois Rochon - Giverny Capital, Hillman Value Fund, John Rogers - Ariel Appreciation Fund, Lee Ainslie - Maverick Capital, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Tom Bancroft - Makaira Partners, Wallace Weitz - Weitz Large Cap Equity Fund",,78.52,19.16,51.34,15.1,0,0,Unknown,Consumer Discretionary,Unknown,0.0,90.99,1.19,N/A
NVDA,9,"Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Duan Yongping - H&H International Investment, Lee Ainslie - Maverick Capital, Mairs & Power Growth Fund, Samantha McLemore - Patient Capital Management, Viking Global Investors",,108.38,30.65,34.33,10.37,0,0,Unknown,Information Technology,Unknown,0.0,105.46,2.7,N/A
AON,9,"David Katz - Matrix Asset Advisors, Jensen Investment Management, Polen Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Wallace Weitz - Weitz Large Cap Equity Fund, Warren Buffett - Berkshire Hathaway, William Von Mueffling - Cantillon Capital Management, Yacktman Asset Management",,399.09,9.07,9.95,2.28,0,0,Unknown,Financials,Unknown,0.0,50.12,2.77,N/A
CVS,8,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Hillman Value Fund, Prem Watsa - Fairfax Financial Holdings, Richard Pzena - Hancock Classic Value, Robert Olstein - Olstein Capital Management, Samantha McLemore - Patient Capital Management",,67.57,9.28,39.23,14.22,0,0,Unknown,Consumer Staples,Unknown,0.0,62.18,0.61,N/A
CRM,8,"AKO Capital, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Polen Capital Management, Stephen Mandel - Lone Pine Capital, ValueAct Capital, Wallace Weitz - Weitz Large Cap Equity Fund",,271.05,2.02,10.63,3.48,0,0,Unknown,Technology,Unknown,0.0,33.35,0.45,N/A
SPGI,8,"Chris Hohn - TCI Fund Management, David Rolfe - Wedgewood Partners, Glenn Greenberg - Brave Warrior Advisors, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Valley Forge Capital Management, William Von Mueffling - Cantillon Capital Management",,508.41,1.62,3.0,0.76,0,0,Unknown,Consumer Discretionary,Unknown,0.0,28.74,0.92,N/A
TMO,8,"AKO Capital, David Katz - Matrix Asset Advisors, Lindsell Train, Polen Capital Management, Thomas Gayner - Markel Group, Torray Funds, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,497.6,17.85,24.94,6.33,0,0,Unknown,Health Care,Unknown,0.0,72.17,2.44,N/A
DHR,8,"Bill & Melinda Gates Foundation Trust, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, Lee Ainslie - Maverick Capital, Pat Dorsey - Dorsey Asset Management, Torray Funds, Viking Global Investors, Wallace Weitz - Weitz Large Cap Equity Fund",,205.0,16.95,75.11,25.23,0,0,Unknown,Industrials,Unknown,0.0,95.46,0.65,N/A
TXN,8,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Jensen Investment Management, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Torray Funds",,179.7,19.21,60.28,19.71,0,0,Unknown,Information Technology,Unknown,0.0,92.56,0.93,N/A
BMY,8,"Bill Miller - Miller Value Partners, David Katz - Matrix Asset Advisors, Dodge & Cox, Harry Burn - Sound Shore, Hillman Value Fund, Jensen Investment Management, Kahn Brothers Group, Richard Pzena - Hancock Classic Value",,60.79,20.96,35.88,9.22,0,0,Unknown,Health Care,Unknown,0.0,83.86,2.05,N/A
ICE,8,"AKO Capital, Bill Nygren - Oakmark Select Fund, Daniel Loeb - Third Point, John Armitage - Egerton Capital, Ruane Cunniff - Sequoia Fund, Thomas Gayner - Markel Group, Viking Global Investors, William Von Mueffling - Cantillon Capital Management",,172.5,4.07,4.24,0.43,0,0,Unknown,Financials,Unknown,0.0,34.26,2.85,N/A
SBUX,8,"Christopher Bloomstran - Semper Augustus, David Katz - Matrix Asset Advisors, Francois Rochon - Giverny Capital, Jensen Investment Management, Lee Ainslie - Maverick Capital, Polen Capital Management, Stephen Mandel - Lone Pine Capital, Thomas Gayner - Markel Group",,98.09,3.74,5.33,2.24,0,0,Unknown,Consumer Discretionary,Unknown,0.0,34.15,1.15,N/A
WTW,7,"David Abrams - Abrams Capital Management, First Eagle Investment Management, Harry Burn - Sound Shore, Polen Capital Management, Robert Olstein - Olstein Capital Management, Seth Klarman - Baupost Group, Thomas Gayner - Markel Group",,337.95,11.49,22.35,6.76,0,0,Unknown,Financials,Unknown,0.0,55.16,1.48,N/A
ASML,7,"David Tepper - Appaloosa Management, Hillman Value Fund, Pat Dorsey - Dorsey Asset Management, Polen Capital Management, Stephen Mandel - Lone Pine Capital, Triple Frond Partners, Valley Forge Capital Management",,668.57,17.32,18.73,2.85,0,0,Unknown,Technology,Unknown,0.0,65.0,4.5,N/A
KHC,7,"Bill & Melinda Gates Foundation Trust, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Mason Hawkins - Longleaf Partners, Prem Watsa - Fairfax Financial Holdings, Warren Buffett - Berkshire Hathaway",,30.47,15.38,19.47,1.81,0,0,Unknown,Consumer Staples,Unknown,0.0,61.5,5.47,N/A
USB,7,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Robert Olstein - Olstein Capital Management, Viking Global Investors",,43.01,12.15,42.6,14.87,0,0,Unknown,Financials,Unknown,0.0,66.6,0.77,N/A
GS,7,"Charles Bobrinskoy - Ariel Focus Fund, David Katz - Matrix Asset Advisors, Dodge & Cox, Greenhaven Associates, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Yacktman Asset Management",,546.28,19.72,19.73,0.01,0,0,Unknown,Financials,Unknown,0.0,70.3,19.52,N/A
UBER,7,"Bill Ackman - Pershing Square Capital Management, Chase Coleman - Tiger Global Management, David Tepper - Appaloosa Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, William Von Mueffling - Cantillon Capital Management",,72.86,19.25,31.26,7.29,0,0,Unknown,Technology,Unknown,0.0,75.13,2.32,N/A
ADI,7,"AKO Capital, First Eagle Investment Management, Francois Rochon - Giverny Capital, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,201.67,7.53,16.13,8.1,0,0,Unknown,Information Technology,Unknown,0.0,44.12,0.83,N/A
